Price,Close,High,Low,Open,Volume,PD,P,L,avgp,avgl,RS,RSI,ema12,ema26,MACD,SIG,SMA,EMA,MB,STD,UB,LB,O1,O2,O3,TR,ATR,DM+,DM-,sDM+,sDM-,sTR,+DI,-DI,DX,ADX,Strat,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-14,135.33999633789062,135.44000244140625,131.67999267578125,133.1999969482422,281180800.0,5.410003662109375,5.410003662109375,0.0,2.5409996032714846,0.16800003051757811,15.124994882028405,93.79844764407015,120.51933529707007,116.53363191644749,3.9857033806225814,1.7727497290939958,119.28199920654296,117.70323415949527,119.28199920654296,7.782559291848631,134.84711779024022,103.71688062284571,3.760009765625,5.510009765625,1.75,5.510009765625,4.36555650499132,4.220001220703125,0.0,2.2571291552680792,0.19427620901826373,4.113540925258131,54.870711055984955,4.722846145163187,84.14980958689206,73.4317814199413,1,NVDA,,,,,,,,,,,,,,,,,,,,
2025-05-15,134.8300018310547,136.3000030517578,132.66000366210938,134.2899932861328,226632600.0,-0.5099945068359375,0.0,0.5099945068359375,2.309999639337713,0.1990904374556108,11.602765394960135,92.06523355263043,122.72097630229848,117.88891857678877,4.8320577255097135,2.3846113283771393,120.69545399058948,119.33435489011998,120.69545399058948,8.745730667589157,138.1869153257678,103.20399265541117,3.6399993896484375,0.9600067138671875,2.67999267578125,3.6399993896484375,4.293000793457031,0.8600006103515625,0.0,2.0708453492792103,0.16837271448249524,4.050402053843506,51.12690843404408,4.156938304994268,84.9614722918372,74.96907353619409,-1,NVDA,,,,,,,,,,,,,,,,,,,,
2025-05-16,135.39999389648438,136.35000610351562,133.4600067138672,136.22000122070312,226542500.0,0.5699920654296875,0.5699920654296875,0.0,2.164999008178711,0.18249956766764322,11.86303636036644,92.225785794393,124.6715943937117,119.18603526713659,5.485559126575112,3.004800888016734,121.92083231608073,120.86441574786897,121.92083231608073,9.35697561111566,140.63478353831206,103.20688109384942,2.8899993896484375,1.5200042724609375,1.3699951171875,2.8899993896484375,4.165455211292613,0.0500030517578125,0.0,1.8013997096096905,0.14592301921816256,3.895681698617497,46.24093673384488,3.745763399251737,85.01295989021834,76.30825838339733,1,NVDA,,,,,,,,,,,,,,,,,,,,
2025-05-19,135.57000732421875,135.8699951171875,132.38999938964844,132.38999938964844,192376100.0,0.170013427734375,0.170013427734375,0.0,2.011538578913762,0.16846113938551682,11.940668245846103,92.27242379603545,126.34827330609741,120.39966282692045,5.948610479176963,3.59356280624878,122.97076885516827,122.2649482789499,122.97076885516827,9.725619643029098,142.42200814122646,103.51952956911008,3.4799957275390625,0.470001220703125,3.0099945068359375,3.4799957275390625,4.108333587646484,0.0,1.07000732421875,1.5612130816617318,0.2691342598849076,3.8402569024737057,40.65387085577725,7.008235821711419,70.59200144410956,75.5460907914923,-1,NVDA,,,,,,,,,,,,,,,,,,,,
2025-05-02,,,,,,-7.959564208984375,0.0,7.959564208984375,0.0,3.9797821044921875,0.0,0.0,211.8160858154297,212.4510368064598,-0.6349509910301094,-0.1269901982060219,209.06085205078125,212.28258042108445,209.06085205078125,5.628261827462589,220.31737570570644,197.80432839585606,4.82367623040588,,,4.82367623040588,4.82367623040588,0.0,0.0,0.0,0.0,4.82367623040588,0.0,0.0,,,0,AAPL,205.08106994628906,206.71892151455646,201.89524528415058,205.82009105417706,101010600.0,,,,,,,,,,,,,,,
2025-05-05,,,,,,-6.4515380859375,0.0,6.4515380859375,0.0,4.803700764973958,0.0,0.0,209.78738520695615,211.42722162526658,-1.6398364183104377,-0.42955944222690506,205.58374532063803,210.98229008196705,205.58374532063803,7.218689578978884,220.0211244785958,191.14636616268027,5.8822858113222765,1.2483544279330943,7.130640239255371,7.130640239255371,5.977158234830625,0.0,3.9448155771168842,0.0,0.5259754102822513,5.131271431585812,0.0,10.250391492536954,100.0,100.0,2,AAPL,198.62953186035156,203.83271551835597,197.9504297070337,202.83402512431957,69018500.0,,,,,,,,,,,,,,,
2025-05-06,,,,,,-0.3795166015625,0.0,0.3795166015625,0.0,3.6976547241210938,0.0,0.0,208.01240521493045,210.4511322647868,-2.4387270498563396,-0.8313929637527919,203.75031280517578,209.7696924797596,203.75031280517578,6.941581374594867,217.6334755543655,189.86715005598606,3.625235596523652,1.7576801310533767,1.867555465470275,3.625235596523652,5.193184022061634,0.0,1.1884533121524044,0.0,0.6143057971982717,4.930466653577525,0.0,12.459384483465357,100.0,100.0,-2,AAPL,198.25001525878906,200.38721199140494,196.7619763948813,197.9504203457911,51216500.0,,,,,,,,,,,,,,,
2025-05-07,,,,,,-2.2570343017578125,0.0,2.2570343017578125,0.0,3.4095306396484375,0.0,0.0,206.1632630214075,209.38015809384194,-3.216895072434454,-1.3084933854891245,202.19884643554687,208.45762471569023,202.19884643554687,6.940778304018884,216.08040304358462,188.31728982750911,6.181895697439558,0.9287903492048315,5.253105348234726,6.181895697439558,5.440361940906115,0.0,3.765066484326951,0.0,1.0344072221487624,5.097323859425796,0.0,20.29314304281397,100.0,100.0,2,AAPL,195.99298095703125,199.1788056079939,192.99690991055434,198.90915494694545,68536700.0,,,,,,,,,,,,,,,
2025-05-08,,,,,,1.2383880615234375,1.2383880615234375,0.0,0.20639801025390625,2.8412755330403647,0.07264272959327588,6.772313612829919,204.78912548250705,208.48024779196882,-3.6911223094617753,-1.7850191702836549,201.37093353271484,207.3884575064392,201.37093353271484,6.530862226420487,214.4326579855558,188.30920907987388,5.362977713494274,3.7950330011230733,1.567944712371201,5.362977713494274,5.424885095423747,0.6092083501604293,0.0,0.08122778002139057,0.8964862591955941,5.132744373301593,1.5825409199005462,17.46602195618281,83.38414367324766,97.78455248976636,-2,AAPL,197.2313690185547,199.78801395815432,194.42503624466005,197.46106353953903,50478900.0,,,,,,,,,,,,,,,
2025-05-09,,,,,,1.03863525390625,1.03863525390625,0.0,0.32528904506138395,2.4353790283203125,0.13356813919531033,11.782982828904025,203.78618375788457,207.72393345719044,-3.9377496993058685,-2.2155652760880975,200.92794363839286,206.52003338891745,200.92794363839286,6.0759483355032575,213.07984030939937,188.77604696738635,2.996071205735632,3.045997475778904,0.049926270043272325,3.045997475778904,5.02840382548294,0.4893525361792683,0.0,0.13564441417577427,0.776954757969515,4.854511453631901,2.7941928960594367,16.004798122131042,70.27294823051206,94.11633858853246,2,AAPL,198.27000427246094,200.2773664943336,197.28129528859796,198.739389980464,36453900.0,,,,,,,,,,,,,,,
